ADI1	NM_018269
ADIG	NM_001018082
ADIPOQ	NM_004797
ADIPOR1	NM_015999
ADIPOR2	NM_024551
ADIRF	NM_006829
ADK	NM_006721
ADM	NM_001124
ADM2	NM_024866
ADM5	NM_001101340
ADNP	NM_181442
ADNP2	NM_014913
ADO	NM_032804
ADORA1	NM_000674
ADORA2A	NM_000675
ADORA3	NM_020683
ADPGK	NM_031284
ADPRH	NM_001125
ADPRHL1	NM_138430
ADPRHL2	NM_017825
ADPRM	NM_020233
ADRA1A	NM_033303
ADRA1D	NM_000678
ADRA2A	NM_000681
ADRA2C	NM_000683
ADRB2	NM_000024
ADRB3	NM_000025
ADRBK1	NM_001619
ADRBK2	NM_005160
ADSL	NM_000026
ADSS	NM_001126
ADTRP	NM_032744
AEBP1	NM_001129
AEBP2	NM_153207
AEN	NM_022767
AES	NM_198969
AFAP1L1	NM_152406
AFAP1L2	NM_032550
AFF1	NM_005935
AFF2	NM_002025
AFF3	NM_002285
AFF4	NM_014423
AFG3L2	NM_006796
AFTPH	NM_017657
AGA	NM_000027
AGAP1	NM_014914
AGAP2	NM_014770
AGAP3	NM_031946
AGAP4	NM_133446
AGAP6	NM_001077665
AGBL1	NM_152336
AGBL2	NM_024783
AGBL3	NM_178563
AGBL4	NM_032785
AGBL5	NM_021831
AGER	NM_001136
AGFG1	NM_004504
AGFG2	NM_006076
AGGF1	NM_018046
AGK	NM_018238
AGL	NM_000028
AGMAT	NM_024758
AGMO	NM_001004320
AGO3	NM_024852
AGO4	NM_017629
AGPAT1	NM_006411
AGPAT2	NM_006412
AGPAT3	NM_020132
AGPAT4	NM_020133
AGPAT5	NM_018361
AGPAT6	NM_178819
AGPAT9	NM_032717
AGR2	NM_006408
AGR3	NM_176813
AGRN	NM_198576
AGT	NM_000029
AGTPBP1	NM_015239
AGTR2	NM_000686
AGTRAP	NM_020350
AGXT	NM_000030
AGXT2	NM_031900
AHCTF1	NM_015446
AHCY	NM_000687
AHI1	NM_017651
AHNAK	NM_024060
AHNAK2	NM_138420
AHR	NM_001621
AHRR	NM_020731
AHSA1	NM_012111
AHSA2	NM_152392
AHSG	NM_001622
AHSP	NM_016633
AICDA	NM_020661
AIDA	NM_022831
AIF1L	NM_031426
AIFM2	NM_032797
AIFM3	NM_144704
AIG1	NM_016108
AIM2	NM_004833
AIMP1	NM_004757
AIMP2	NM_006303
AIP	NM_003977
AIPL1	NM_014336
AJAP1	NM_018836
AJUBA	NM_032876
AK2	NM_001625
AK3	NM_016282
AK4	NM_013410
AK5	NM_174858
AK8	NM_152572
AK9	NM_001145128
AKAP10	NM_007202
AKAP11	NM_016248
AKAP13	NM_007200
AKAP14	NM_178813
AKAP17A	NM_005088
AKAP2	NM_001004065
AKAP3	NM_006422
AKAP4	NM_003886
AKAP6	NM_004274
AKAP7	NM_004842
AKAP8	NM_005858
AKAP8L	NM_014371
AKAP9	NM_005751
AKIP1	NM_020642
AKIRIN1	NM_024595
AKIRIN2	NM_018064
AKNA	NM_030767
AKNAD1	NM_152763
AKR1A1	NM_006066
AKR1B1	NM_001628
AKR1B10	NM_020299
AKR1C1	NM_001353
AKR1C2	NM_001354
AKR1C3	NM_003739
AKR1C4	NM_001818
AKR1D1	NM_005989
AKR7A2	NM_003689
AKR7A3	NM_012067
AKT1	NM_005163
AKT1S1	NM_032375
AKT2	NM_001626
AKT3	NM_005465
AKTIP	NM_022476
ALAS2	NM_000032
ALB	NM_000477
ALCAM	NM_001627
ALDH16A1	NM_153329
ALDH18A1	NM_002860
ALDH1L1	NM_012190
ALDH2	NM_000690
ALDH3A1	NM_000691
ALDH3B1	NM_000694
ALDH3B2	NM_000695
ALDH7A1	NM_001182
ALDOA	NM_000034
ALG1	NM_019109
ALG10	NM_032834
ALG10B	NM_001013620
ALG11	NM_001004127
ALG12	NM_024105
ALG13	NM_018466
ALG14	NM_144988
ALG1L	NM_001015050
ALG1L2	NM_001136152
ALG2	NM_033087
ALG3	NM_005787
ALG5	NM_013338
ALG6	NM_013339
ALG8	NM_024079
ALG9	NM_024740
ALK	NM_004304
ALKBH1	NM_006020
ALKBH2	NM_001001655
ALKBH3	NM_139178
ALKBH4	NM_017621
ALKBH5	NM_017758
ALKBH6	NM_032878
ALKBH7	NM_032306
ALKBH8	NM_138775
ALMS1	NM_015120
ALOX5AP	NM_001629
ALPI	NM_001631
ALPK1	NM_025144
ALPK2	NM_052947
ALPK3	NM_020778
ALPL	NM_000478
ALPP	NM_001632
ALPPL2	NM_031313
ALS2	NM_020919
ALS2CL	NM_147129
ALS2CR11	NM_152525
ALS2CR12	NM_139163
ALX1	NM_006982
ALX3	NM_006492
ALYREF	NM_005782
AMACR	NM_014324
AMBN	NM_016519
AMBP	NM_001633
AMBRA1	NM_017749
AMDHD1	NM_152435
AMDHD2	NM_015944
AMELX	NM_001142
AMELY	NM_001143
AMER1	NM_152424
AMER2	NM_152704
AMER3	NM_152698
AMH	NM_000479
AMHR2	NM_020547
AMICA1	NM_153206
AMIGO1	NM_020703
AMIGO2	NM_181847
AMIGO3	NM_198722
AMMECR1L	NM_031445
AMOT	NM_133265
AMOTL1	NM_130847
AMOTL2	NM_016201
AMPD3	NM_000480
AMPH	NM_001635
AMT	NM_000481
AMTN	NM_212557
AMY1A	NM_001008221
AMY1B	NM_001008218
AMY1C	NM_001008219
AMY2A	NM_000699
AMY2B	NM_020978
AMZ1	NM_133463
AMZ2	NM_016627
ANAPC1	NM_022662
ANAPC10	NM_014885
ANAPC11	NM_016476
ANAPC13	NM_015391
ANAPC15	NM_014042
ANAPC16	NM_173473
ANAPC2	NM_013366
ANAPC4	NM_013367
ANAPC7	NM_016238
ANG	NM_001097577
ANGEL1	NM_015305
ANGEL2	NM_144567
ANGPT1	NM_001146
ANGPT2	NM_001147
ANGPT4	NM_015985
ANGPTL1	NM_004673
ANGPTL2	NM_012098
ANGPTL3	NM_014495
ANGPTL4	NM_139314
ANGPTL5	NM_178127
ANGPTL6	NM_031917
ANGPTL7	NM_021146
ANK1	NM_020475
ANK2	NM_001148
ANK3	NM_020987
ANKAR	NM_144708
ANKDD1A	NM_182703
ANKEF1	NM_022096
ANKFN1	NM_153228
ANKFY1	NM_016376
ANKH	NM_054027
ANKHD1	NM_017747
ANKK1	NM_178510
ANKLE1	NM_152363
ANKMY1	NM_017844
ANKMY2	NM_020319
ANKRA2	NM_023039
ANKRD1	NM_014391
ANKRD11	NM_013275
ANKRD12	NM_015208
ANKRD13A	NM_033121
ANKRD13B	NM_152345
ANKRD13C	NM_030816
ANKRD13D	NM_207354
ANKRD17	NM_032217
ANKRD20A2	NM_001012421
ANKRD20A4	NM_001098805
ANKRD22	NM_144590
ANKRD23	NM_144994
ANKRD27	NM_032139
ANKRD28	NM_015199
ANKRD29	NM_173505
ANKRD30A	NM_052997
ANKRD30B	NM_001145029
ANKRD31	NM_001164443
ANKRD32	NM_032290
ANKRD33	NM_182608
ANKRD34B	NM_001004441
ANKRD34C	NM_001146341
ANKRD35	NM_144698
ANKRD36B	NM_025190
ANKRD37	NM_181726
ANKRD39	NM_016466
ANKRD40	NM_052855
ANKRD42	NM_182603
ANKRD44	NM_153697
ANKRD45	NM_198493
ANKRD46	NM_198401
ANKRD49	NM_017704
ANKRD50	NM_020337
ANKRD52	NM_173595
ANKRD53	NM_024933
ANKRD54	NM_138797
ANKRD55	NM_024669
ANKRD66	NM_001162435
ANKS1B	NM_152788
ANKS3	NM_133450
ANKS4B	NM_145865
ANKS6	NM_173551
ANKUB1	NM_001144960
ANKZF1	NM_018089
ANLN	NM_018685
ANO1	NM_018043
ANO10	NM_018075
ANO3	NM_031418
ANO4	NM_178826
ANO5	NM_213599
ANO7	NM_001001891
ANO9	NM_001012302
ANP32B	NM_006401
ANP32D	NM_012404
ANP32E	NM_030920
ANTXR1	NM_032208
ANTXR2	NM_058172
ANXA1	NM_000700
ANXA10	NM_007193
ANXA11	NM_145869
ANXA13	NM_004306
ANXA2	NM_001002857
ANXA2R	NM_001014279
ANXA3	NM_005139
ANXA4	NM_001153
ANXA5	NM_001154
ANXA6	NM_001155
ANXA7	NM_001156
ANXA8	NM_001040084
ANXA9	NM_003568
AOAH	NM_001637
AOC1	NM_001091
AOC2	NM_009590
AOC3	NM_003734
AOX1	NM_001159
AP1AR	NM_018569
AP1B1	NM_001127
AP1G2	NM_003917
AP1M1	NM_032493
AP1S1	NM_001283
AP1S2	NM_003916
AP2A2	NM_012305
AP2M1	NM_004068
AP4B1	NM_006594
AP4M1	NM_004722
AP5B1	NM_138368
AP5M1	NM_018229
AP5S1	NM_018347
APBA1	NM_001163
APBA2	NM_005503
APBB1	NM_001164
APBB1IP	NM_019043
APBB2	NM_173075
APBB3	NM_006051
APC	NM_000038
APC2	NM_005883
APCDD1	NM_153000
APCDD1L	NM_153360
APCS	NM_001639
APEX1	NM_001641
APH1A	NM_016022
APH1B	NM_031301
API5	NM_006595
APIP	NM_015957
APITD1	NM_199294
APLF	NM_173545
APLN	NM_017413
APLNR	NM_005161
APLP1	NM_001024807
APLP2	NM_001642
APMAP	NM_020531
APOA1	NM_000039
APOA1BP	NM_144772
APOA2	NM_001643
APOA4	NM_000482
APOBEC1	NM_001644
APOBEC2	NM_006789
APOBEC3A	NM_145699
APOBEC3B	NM_004900
APOBEC3C	NM_014508
APOBEC3D	NM_152426
APOBEC3F	NM_145298
APOBEC3G	NM_021822
APOBEC3H	NM_181773
APOBEC4	NM_203454
APOC2	NM_000483
APOC3	NM_000040
APOC4	NM_001646
APOD	NM_001647
APOE	NM_000041
APOH	NM_000042
APOL1	NM_145343
APOL2	NM_145637
APOL3	NM_145641
APOL4	NM_145660
APOL5	NM_030642
APOL6	NM_030641
APOLD1	NM_030817
APOM	NM_019101
APOO	NM_024122
APOOL	NM_198450
APOPT1	NM_032374
APP	NM_000484
APPBP2	NM_006380
APPL1	NM_012096
APPL2	NM_018171
APRT	NM_000485
AQP10	NM_080429
AQP11	NM_173039
AQP12A	NM_198998
AQP2	NM_000486
AQP3	NM_004925
AQP4	NM_004028
AQP5	NM_001651
AQP6	NM_001652
AQP7	NM_001170
AQP8	NM_001169
AQP9	NM_020980
AQR	NM_014691
AR	NM_000044
ARAF	NM_001654
ARAP1	NM_001040118
ARAP2	NM_015230
ARAP3	NM_022481
AREG	NM_001657
ARF1	NM_001024227
ARF3	NM_001659
ARF4	NM_001660
ARF5	NM_001662
ARF6	NM_001663
ARFGAP1	NM_018209
ARFGAP2	NM_032389
ARFGAP3	NM_014570
ARFGEF1	NM_006421
ARFGEF2	NM_006420
ARFIP1	NM_014447
ARFIP2	NM_012402
ARFRP1	NM_003224
ARG2	NM_001172
ARGFX	NM_001012659
ARGLU1	NM_018011
ARHGAP1	NM_004308
ARHGAP10	NM_024605
ARHGAP11A	NM_014783
ARHGAP11B	NM_001039841
ARHGAP15	NM_018460
ARHGAP17	NM_018054
ARHGAP18	NM_033515
ARHGAP19	NM_032900
ARHGAP20	NM_020809
ARHGAP21	NM_020824
ARHGAP22	NM_021226
ARHGAP24	NM_031305
ARHGAP25	NM_014882
ARHGAP26	NM_015071
ARHGAP27	NM_199282
ARHGAP29	NM_004815
ARHGAP30	NM_181720
ARHGAP32	NM_014715
ARHGAP33	NM_052948
ARHGAP35	NM_004491
ARHGAP36	NM_144967
ARHGAP4	NM_001666
ARHGAP42	NM_152432
ARHGAP44	NM_014859
ARHGAP5	NM_001030055
ARHGAP6	NM_013427
ARHGAP9	NM_032496
ARHGDIA	NM_004309
ARHGDIB	NM_001175
ARHGEF1	NM_199002
ARHGEF10L	NM_018125
ARHGEF11	NM_198236
ARHGEF12	NM_015313
ARHGEF15	NM_173728
ARHGEF16	NM_014448
ARHGEF17	NM_014786
ARHGEF18	NM_015318
ARHGEF19	NM_153213
ARHGEF2	NM_004723
ARHGEF26	NM_015595
ARHGEF3	NM_019555
ARHGEF33	NM_001145451
ARHGEF35	NM_001003702
ARHGEF37	NM_001001669
ARHGEF38	NM_017700
ARHGEF39	NM_032818
ARHGEF5	NM_005435
ARHGEF6	NM_004840
ARHGEF7	NM_145735
ARID1A	NM_139135
ARID1B	NM_017519
ARID2	NM_152641
ARID3A	NM_005224
